age,d18O
57400.0,
57500.0,-10.254437825763217
57600.0,-10.18667907669397
57700.0,-10.118920327624721
57800.0,-10.051161578555472
57900.0,-9.983402829486225
58000.0,-9.915644080416977
58100.0,-9.84788533134773
58200.0,-9.78012658227848
58300.0,-9.712367833209234
58400.0,-9.644609084139985
58500.0,-9.576850335070738
58600.0,-9.509091586001489
58700.0,-9.441332836932242
58800.0,-9.394769001490314
58900.0,-9.381356184798808
59000.0,-9.367943368107303
59100.0,-9.354530551415797
59200.0,-9.341117734724293
59300.0,-9.327704918032788
59400.0,-9.314292101341282
59500.0,-9.300879284649778
59600.0,-9.287466467958271
59700.0,-10.239026825633385
59800.0,-10.33232041728763
59900.0,-9.719614008941878
60000.0,-10.194907600596125
60100.0,-10.529201192250373
60200.0,-10.39306321725366
60300.0,-10.102190245350219
60400.0,-10.346317273446775
60500.0,-10.455444301543332
60600.0,-10.12357132963989
60700.0,-10.091698357736448
60800.0,-10.324825385833005
60900.0,-10.059952413929562
61000.0,-10.36007944202612
61100.0,-10.163706470122676
61200.0,-10.008333498219233
61300.0,-9.86046052631579
61400.0,-9.729587554412348
61500.0,-9.80638124917557
61600.0,-10.10961938838324
61700.0,-10.07396863870202
61800.0,-10.326095666798576
61900.0,-9.814785194895133
62000.0,-9.10191222299169
62100.0,-9.519664251088248
62200.0,-9.656166279184806
62300.0,-9.51141830728136
62400.0,-9.608545335377919
62500.0,-9.705359863474477
62600.0,-9.738736891571033
62700.0,-9.695551419667591
62800.0,-9.655490947764147
62900.0,-9.938867975860706
63000.0,-10.03630750395726
63100.0,-9.947809532053817
63200.0,-10.044936560150376
63300.0,-10.095188588246934
63400.0,-9.98794061634349
63500.0,-9.871942644440047
63600.0,-9.794382172536604
63700.0,-10.096509200633163
63800.0,-10.240823728729719
63900.0,-10.227325756826277
64000.0,-10.272890284922836
64100.0,-10.470017313019422
64200.0,-11.005477674449287
64300.0,-10.399985654926791
64400.0,-9.969255540166206
64500.0,-10.22852542540562
64600.0,-10.422319120168837
64700.0,-10.536014775716392
64800.0,-10.329318274401167
64900.0,-10.277033537791853
65000.0,-10.379160565888407
65100.0,-10.312464064573199
65200.0,-10.17341462208152
65300.0,-10.089430539066962
65400.0,-10.046786325333464
65500.0,-10.169501588724135
65600.0,-10.23053384557886
65700.0,-10.22988309589764
65800.0,-10.163235614190274
65900.0,-10.068303818757421
66000.0,-10.0926530690762
66100.0,-10.104910816127004
66200.0,-10.068802550105914
66300.0,-9.904589708921426
66400.0,-9.61227229257354
66500.0,-9.389954876225652
66600.0,-9.197637459877765
66700.0,-9.328555337647526
66800.0,-9.464669293848658
66900.0,-9.477907433056325
67000.0,-9.490230539584257
67100.0,-9.501181097092577
67200.0,-9.484566295123775
67300.0,-9.456137767664776
67400.0,-9.373150416676367
67500.0,-9.314002934969002
67600.0,-9.374463296398892
67700.0,-9.492766795083684
67800.0,-9.69783499965083
67900.0,-9.848344380688562
68000.0,-9.975471408785122
68100.0,-9.878921966293444
68200.0,-9.773892131644901
68300.0,-9.734352493074793
68400.0,-9.693832462347821
68500.0,-9.651841843385554
68600.0,-9.730178021808907
68700.0,-9.860082827683243
68800.0,-10.00734057473405
68900.0,-10.118781328320802
69000.0,-10.079241689750692
69100.0,-9.975192247259015
69200.0,-9.774378098884984
69300.0,-9.758400551818141
69400.0,-9.82163869102581
69500.0,-9.847376830233479
69600.0,-9.847592093624154
69700.0,-9.655601474661886
69800.0,-9.513480136745372
