Year	bcc_csm1_1	CCSM4	FGOALS_gl	FGOALS_s2	IPSL_CM5A_LR	MPI_ESM_P	CSIRO	GISS-E2-R_r1i1p121	GISS-E2-R_r1i1p127	GISS-E2-R_r1i1p127	HadCM3	CESM_member_1	CESM_member_2	CESM_member_3	CESM_member_4	CESM_member_5	CESM_member_6	CESM_member_7	CESM_member_8	CESM_member_9	CESM_member_10
1000	-0.358370315789863	-0.480182789307339	-0.159103892659468	-1.06885673215383	-0.969799355401301	-0.545576208855282	-0.448527433388517	-0.312629826145712	-0.245632713858504	-0.437069388880627	-0.169279476666998	0.0155536651611783	-0.0572471618650638	0.301588058471566	-0.182195663452546	-0.0175697326660043	0.272518157959439	-0.00900688171390129	-0.269033432006495	-0.134031295776538	-0.0439727783203807
1001	-0.533236455505643	-0.843256146645354	-0.498624455774822	-1.11615397820742	-0.785648434789048	-0.602706102519323	-0.527482606880949	-0.309094674664084	-0.259088015381712	-0.370912256493466	-0.1852060612684	-0.381357955932799	-0.244380950928075	-0.267320632934457	-0.194158554077546	-0.247306060791004	-0.321506500244595	-0.218571090697878	-0.321065902709506	-0.240751266479549	-0.256130981445381
1002	-0.497293929512015	-0.812468527454841	-0.42459857563315	-1.10294739171227	-0.740841509355105	-0.531096395144236	-0.459325410836027	-0.212072230654303	-0.250093287054915	-0.200105252518551	-0.343046998644422	-0.444010543823822	-0.28094100952103	-0.502122879028434	-0.110265731811523	-0.312613677977993	-0.412326812744595	-0.215641403197878	-0.197317123413541	-0.185880661010572	-0.139431762695381
1003	-0.474614111370064	-0.761114759840708	-0.261817991916549	-0.973594895736765	-0.951648763391894	-0.496980349385223	-0.654476024620817	-0.286855377035681	-0.260100519482512	-0.263123008265393	-0.372337019110273	-0.308054733276833	-0.217037200928075	-0.216386795044457	-0.0868587493895348	-0.308280181884982	-0.264347076415561	-0.127170944213901	-0.0422878265385407	0.0747089385984623	0.0621368408206422
1004	-0.615883831210646	-0.616858527422569	-0.381585833378435	-1.19023694157578	-0.862616751011534	-0.405495516127878	-0.512185313217924	-0.241064078884665	-0.334347224060912	-0.344899776234524	-0.319366967344831	-0.247019577026833	-0.0989646911620525	0.061597824096566	-0.267187118530501	-0.239005279541004	-0.220127105712606	-0.11835136413589	-0.155874252319506	-0.0718975067135261	-0.178158569336404
1005	-0.420189882940077	-0.582061999418252	-0.321279728686599	-1.00737267709365	-0.736798577408676	-0.509967226522907	-0.43493298482208	-0.347862876730505	-0.358343607012648	-0.368677112116711	-0.166960438752722	-0.14725761413581	-0.140132904053075	0.159498214721566	-0.207647323608512	-0.260428619384982	-0.0906410217285725	0.0810504913330874	-0.264211654663541	-0.0682048797605717	-0.224423217773392
1006	-0.491502805397172	-0.597035042234384	-0.365337835755548	-0.879233799978862	-0.679252588346474	-0.6753504012936	-0.533075608723448	-0.516928143578116	-0.367287760798354	-0.427789780154126	-0.403384244108747	-0.210337448119787	-0.197505950928075	-0.0879383087154224	-0.00824546813953475	-0.212058258057027	0.115230560302393	0.0510211944580874	-0.212911605835529	0.0394916534424397	-0.126034545898392
1007	-0.3924866989003	-0.73124919185999	-0.317684154219109	-0.962264123235823	-0.749495084459532	-0.599356832969254	-0.437777258866117	-0.332324959116522	-0.382712727610487	-0.40362677241792	-0.361308580303739	-0.0404155731197875	-0.0118370056150638	-0.179613113403434	0.00579261779745366	-0.166648101807027	0.259548187255405	-0.22845878601089	0.0891819000244709	0.207521438598462	-0.158810424804358
1008	-0.410480070098988	-0.558980723989411	-0.468333718202636	-0.960352042954174	-0.974788404625792	-0.544691800767514	-0.405706264488981	-0.439671702461783	-0.359312718932051	-0.434338184847729	-0.252252256537031	0.064107131958167	0.103641510009936	-0.255205154418434	-0.138738632202546	-0.0127784728999814	0.0165672302244388	-0.317509078979924	0.0485630035404938	0.18622016906744	-0.059872436523392
1009	-0.409132250912171	-0.337255782045435	-0.321085435861741	-0.958995646920528	-0.837159260687296	-0.638776378408562	-0.388774402849958	-0.388167805748526	-0.27600595933618	-0.447810443892377	-0.261702483559202	0.104481887817201	0.0368080139159588	0.018384933471566	-0.243627548217546	0.148445892333996	-0.0500221252445954	-0.249760055541913	-0.401540756225529	-0.161039352417561	-0.0690887451173694
1010	-0.393255280751745	-0.379221735029448	-0.144106632518846	-1.07906635044346	-0.723837263678942	-0.623240783896569	-0.325656392090605	-0.315207458811346	-0.268138563458342	-0.407873722567456	-0.208595609331678	-0.175669479369787	0.0265541076659588	0.00343132019054337	-0.148534774780501	0.0633018493650184	-0.0801429748535725	-0.0948528289799242	-0.412252426147518	-0.209867477417561	-0.042538452148392
1011	-0.424787326753346	-0.58793209158093	-0.12992118287074	-1.16834843410977	-0.741597530790656	-0.337565502585361	-0.462434448712156	-0.287849016266409	-0.276499694411177	-0.418158325209515	-0.306693559551786	-0.313547897338822	-0.137447357178075	-0.190477371215422	-0.180242538452546	-0.130850982666004	-0.0484352111815838	-0.0791667938228784	-0.286733627319506	-0.118680953979549	-0.0743988037114036
